ID_ROK;ID_SUBKATEGORIA;ID_KATEGORIA;Druh kriminality;Zistené;Objasnené; t.j. %;Spôsob. škoda;Dodatoč. objasnené;Vplyv alkoholu;Vplyv drog;Maloletý páchateľ;Mladistvý páchateľ;Celkom osôb;Počet malolet.;Počet mladist.;Vplyv alkoholu;Vplyv drog
23;;4;OSTATNÁ  KRIMINALITA                    ; 6 259; 4 830;  77; 11 407;  432;  716;  64;  37;  189; 5 521;  50;  214;  568;  61
23;26;4;výtržníctvo                             ;  835;  679;  81;  7;  52;  276;  1;  23;  99;  905;  25;  128;  315;  
23;27;4;požiare a výbuchy                       ;  394;  68;  17; 10 871;  10;  13;  3;  4;  7;  77;  5;  7;  12;  1
23;28;4;drogy                                   ; 1 513; 1 071;  71;  ;  219;  39;  53;  ;  51; 1 338;  ;  49;  37;  55
23;29;4;    - omamné,psychotrop.látky           ;  724;  514;  71;  ;  115;  10;  26;  ;  22;  716;  ;  21;  10;  29
23;30;4;    - šírenie toxikománie               ;  20;  10;  50;  ;  1;  ;  ;  ;  3;  10;  ;  3;  ;  
23;31;4;nedovolené ozbrojovanie                 ;  383;  202;  53;  24;  44;  10;  1;  1;  1;  230;  1;  1;  6;  1
23;;5;ZOSTÁVAJÚCA KRIMINALITA                 ; 11 666; 9 753;  84; 5 727;  849; 4 629;  75;  9;  84; 10 450;  10;  83; 4 526;  71
23;32;5;dopravné nehody cestné                  ; 1 488; 1 040;  70; 2 143;  346;  203;  9;  1;  13; 1 361;  1;  13;  193;  9
23;33;5;ohroz. pod vplyvom návyk.látok          ; 4 450; 4 374;  98;  740;  49; 4 358;  65;  2;  28; 4 331;  2;  24; 4 270;  61
23;34;5;t.č. vojenské a proti republ.           ;  7;  3;  43;  ;  1;  2;  ;  ;  ;  4;  ;  ;  2;  
23;;6;EKONOMICKÁ  KRIMINALITA                 ; 11 212; 5 171;  46; 235 405; 1 341;  50;  3;  32;  103; 6 425;  36;  101;  48;  2
23;35;6;skrátenie dane                          ; 4 130; 2 783;  67; 69 246;  536;  6;  1;  ;  3; 3 102;  ;  3;  5;  1
23;36;6;krádež                                  ;  30;  23;  77;  152;  ;  ;  ;  ;  2;  24;  ;  3;  ;  
23;37;6;ochrana meny                            ;  922;  46;  5; 3 733;  3;  ;  ;  3;  10;  51;  3;  9;  ;  
23;38;6;ohroz.devízového hospod.                ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
23;39;6;korupcia                                ;  131;  80;  61;  ;  20;  4;  ;  ;  ;  175;  ;  ;  4;  
23;40;6;sprenevera                              ;  382;  235;  62; 9 857;  72;  2;  ;  ;  2;  304;  ;  2;  2;  
23;41;6;podvod                                  ; 1 665;  568;  34; 58 542;  301;  4;  ;  1;  14;  855;  1;  14;  3;  
23;42;6;poruš.autorských práv                   ;  46;  8;  17;  658;  8;  1;  ;  ;  ;  15;  ;  ;  ;  
22;;1;NÁSILNÁ  KRIMINALITA                    ; 5 540; 4 124;  74; 1 909;  305; 1 700;  18;  62;  299; 4 635;  77;  347; 1 694;  15
22;1;1;vraždy                                  ;  76;  58;  76;  ;  21;  15;  1;  ;  2;  100;  ;  2;  17;  1
22;2;1;lúpeže                                  ;  410;  310;  76;  747;  23;  45;  3;  24;  94;  442;  33;  130;  54;  3
22;3;1;násilie na verej.činit.                 ;  239;  219;  92;  4;  4;  127;  2;  ;  7;  214;  ;  6;  128;  1
22;4;1;      - z toho na policajtovi           ;  183;  171;  93;  ;  2;  105;  2;  ;  6;  163;  ;  5;  104;  1
22;5;1;úmyslené ublíženie na zdraví            ; 1 526; 1 109;  73;  9;  141;  417;  ;  21;  118; 1 399;  25;  139;  439;  
22;6;1;s rasovým mot.,extrémizmus              ;  85;  29;  34;  ;  22;  3;  ;  1;  7;  45;  1;  7;  5;  
22;7;1;organizovaný zločin                     ;  37;  20;  54; 39 034;  21;  1;  ;  1;  1;  196;  3;  6;  1;  
22;;2;MRAVNOSTNÁ  KRIMINALITA                 ; 1 097;  730;  67;  ;  93;  67;  ;  33;  292;  743;  37;  278;  59;  
22;8;2;znásilnenie                             ;  97;  60;  62;  ;  6;  22;  ;  1;  4;  61;  1;  5;  18;  
22;9;2;pohlavné zneužívanie                    ;  521;  407;  78;  ;  40;  15;  ;  22;  226;  430;  22;  223;  13;  
22;10;2;obchodovanie s ľuďmi                    ;  17;  9;  53;  ;  5;  ;  ;  ;  ;  31;  ;  ;  ;  
22;;3;MAJETKOVÁ  KRIMINALITA                  ; 19 583; 8 999;  46; 38 579;  657;  944;  24;  438; 1 214; 9 658;  564; 1 263;  912;  22
